,date,season,decades_bin,neutral,playoff,team,team_code,elo,elo_prob,score,result
227,1921-10-23,1921,1,0,0,AKR,2,1666.229,0.6204511966486694,3,1.0
228,1921-10-23,1921,1,0,0,CTI,12,1477.9479999999999,0.5437249267832118,28,1.0
230,1921-10-23,1921,1,0,0,ARI,11,1473.2479999999998,0.7138531919329767,17,1.0
231,1921-10-23,1921,1,0,0,COL,5,1379.44,0.2861468080670233,6,0.0
232,1921-10-23,1921,1,0,0,CHI,6,1564.096,0.6483807661691039,7,1.0
233,1921-10-23,1921,1,0,0,DAY,4,1522.793,0.3516192338308961,0,0.0
234,1921-10-23,1921,1,0,0,GB,18,1413.889,0.4977276519811023,7,1.0
235,1921-10-23,1921,1,0,0,MNN,16,1480.4679999999998,0.5022723480188978,6,0.0
236,1921-10-30,1921,1,0,0,GB,18,1420.8570000000002,0.4371795672057785,3,0.0
237,1921-10-30,1921,1,0,0,RII,1,1529.741,0.5628204327942214,13,1.0
238,1921-10-30,1921,1,0,0,AKR,2,1676.36,0.8495090128802689,19,1.0
239,1921-10-30,1921,1,0,0,RCH,3,1440.6970000000001,0.15049098711973108,0,0.0
240,1921-10-30,1921,1,0,0,BFF,8,1601.725,0.8890184527094621,21,1.0
241,1921-10-30,1921,1,0,0,DTI,17,1305.261,0.11098154729053789,0,0.0
242,1921-10-30,1921,1,0,0,DAY,4,1508.844,0.5932832340668743,3,1.0
243,1921-10-30,1921,1,0,0,CTI,12,1508.256,0.40671676593312567,2,0.0
244,1921-10-30,1921,1,0,0,MNN,16,1473.5,0.7294770416045998,28,1.0
245,1921-10-30,1921,1,0,0,COL,5,1366.1770000000001,0.2705229583954002,0,0.0
246,1921-11-06,1921,1,0,0,CHI,6,1578.045,0.8785066386826075,20,1.0
247,1921-11-06,1921,1,0,0,DTI,17,1299.368,0.12149336131739252,9,0.0
248,1921-11-06,1921,1,0,0,CBD,7,1505.723,0.5804662109486513,14,1.0
249,1921-11-06,1921,1,0,0,DAY,4,1514.319,0.41953378905134875,0,0.0
250,1921-11-06,1921,1,0,0,BFF,8,1607.6170000000002,0.7266425908287979,10,1.0
251,1921-11-06,1921,1,0,0,CTI,12,1502.781,0.2733574091712021,6,0.0
252,1921-11-06,1921,1,0,0,RCH,3,1432.764,0.5284063044920551,45,1.0
254,1921-11-06,1921,1,0,0,COL,5,1349.2820000000002,0.17446572159791382,0,0.0
255,1921-11-06,1921,1,0,0,AKR,2,1684.2920000000001,0.8255342784020862,21,1.0
256,1921-11-06,1921,1,0,0,RII,1,1550.297,0.6723853862786576,14,1.0
257,1921-11-06,1921,1,0,0,MNN,16,1490.395,0.3276146137213424,3,0.0
258,1921-11-06,1921,1,0,0,ARI,11,1486.511,0.678611056863766,7,1.0
259,1921-11-06,1921,1,0,0,HAM,13,1421.675,0.321388943136234,0,0.0
260,1921-11-06,1921,1,0,0,GB,18,1400.3010000000002,0.6545642498889076,43,1.0
261,1921-11-06,1921,1,0,0,ECG,14,1354.267,0.3454357501110924,6,0.0
262,1921-11-13,1921,1,0,0,GB,18,1424.224,0.6133689180996386,14,1.0
263,1921-11-13,1921,1,0,0,HAM,13,1409.0539999999999,0.38663108190036144,7,0.0
264,1921-11-13,1921,1,0,0,BFF,8,1615.786,0.4811378314403178,0,0.5
265,1921-11-13,1921,1,0,0,AKR,2,1693.899,0.5188621685596821,0,0.5
266,1921-11-13,1921,1,0,0,CTI,12,1494.6129999999998,0.5455437476364552,0,0.0
267,1921-11-13,1921,1,0,0,CBD,7,1527.878,0.4544562523635448,7,1.0
268,1921-11-13,1921,1,0,0,CHI,6,1583.267,0.6166305306397533,3,1.0
269,1921-11-13,1921,1,0,0,RII,1,1565.704,0.38336946936024674,0,0.0
270,1921-11-13,1921,1,0,0,DAY,4,1492.164,0.8196611312321836,27,1.0
271,1921-11-13,1921,1,0,0,DTI,17,1294.146,0.18033886876781635,0,0.0
272,1921-11-20,1921,1,0,0,ARI,11,1499.1329999999998,0.6717408911838079,3,0.5
273,1921-11-20,1921,1,0,0,GB,18,1439.739,0.32825910881619214,3,0.5
274,1921-11-20,1921,1,0,0,CHI,6,1593.5120000000002,0.7457358978191706,22,1.0
275,1921-11-20,1921,1,0,0,CTI,12,1471.592,0.2542641021808294,7,0.0
276,1921-11-20,1921,1,0,0,BFF,8,1616.361,0.6793977307743809,7,0.5
277,1921-11-20,1921,1,0,0,CBD,7,1550.898,0.3206022692256191,7,0.5
278,1921-11-20,1921,1,0,0,DAY,4,1502.9,0.3269543002568812,3,1.0
279,1921-11-20,1921,1,0,0,AKR,2,1693.3229999999999,0.6730456997431188,0,0.0
280,1921-11-20,1921,1,0,0,RCH,3,1468.5539999999999,0.7532566424402186,27,1.0
281,1921-11-20,1921,1,0,0,COL,5,1339.675,0.24674335755978138,13,0.0
282,1921-11-24,1921,1,0,0,AKR,2,1673.5339999999999,0.7405098665316118,0,0.0
283,1921-11-24,1921,1,0,0,CBD,7,1556.37,0.25949013346838823,14,1.0
284,1921-11-24,1921,1,0,0,CHI,6,1606.507,0.5863603871817877,6,0.0
285,1921-11-24,1921,1,0,0,BFF,8,1610.89,0.41363961281821227,7,1.0
286,1921-11-27,1921,1,0,0,ECG,14,1330.3429999999998,0.3775716432953696,48,1.0
289,1921-11-27,1921,1,0,0,CBD,7,1600.0970000000002,0.7946730391551999,15,1.0
290,1921-11-27,1921,1,0,0,CHI,6,1598.148,0.7783193335125601,20,1.0
291,1921-11-27,1921,1,0,0,GB,18,1444.976,0.2216806664874399,0,0.0
292,1921-11-27,1921,1,0,0,BFF,8,1619.249,0.7170781499354318,7,1.0
293,1921-11-27,1921,1,0,0,DAY,4,1522.6889999999999,0.28292185006456816,0,0.0
294,1921-12-03,1921,1,0,0,BFF,8,1630.21,0.5930262390624423,14,1.0
295,1921-12-03,1921,1,0,0,AKR,2,1629.807,0.40697376093755766,0,0.0
297,1921-12-03,1921,1,0,0,CTI,12,1458.5970000000002,0.6428227768663302,17,1.0
298,1921-12-04,1921,1,0,0,LOU,15,1377.8570000000002,0.6603073595766215,0,0.0
299,1921-12-04,1921,1,0,0,COL,5,1327.3929999999998,0.33969264042337854,6,1.0
300,1921-12-04,1921,1,0,0,CHI,6,1610.4289999999999,0.5342161002399493,10,1.0
